Fecha;Dia semana;Monto total;Efectivo;Tarjeta Credito;Tarjeta Debito;Web Pay;PedidosYa;PedidosYa Vouchers;Rappi;UberEats;Mercat;Transferencia;PedidosYa Efectivo;Uber eats
miércoles, 4 de enero de 2023;Wednesday;1606572;77695;51205;1120591;0;104090;0;51750;191251;9990;0;0;0
jueves, 5 de enero de 2023;Thursday;1317641;147583;48356;671930;0;97000;0;68340;262192;12790;0;9450;0
viernes, 6 de enero de 2023;Friday;2853211;199686;255217;1625065;0;184710;0;186220;367263;25470;0;9580;0
sábado, 7 de enero de 2023;Saturday;1576128;101177;249370;799321;0;50950;0;60740;280350;24770;0;9450;0
domingo, 8 de enero de 2023;Sunday;1227001;82607;91608;650384;0;102070;0;94170;159202;17490;0;29470;0
lunes, 9 de enero de 2023;Monday;1003709;158790;131505;406364;0;83970;0;21580;177020;24480;0;0;0
martes, 10 de enero de 2023;Tuesday;1899475;226445;454911;940288;55340;80830;3358;48850;63831;17990;0;7632;0
miércoles, 11 de enero de 2023;Wednesday;1271360;192408;132065;828416;15980;32070;0;29670;40751;0;0;0;0
jueves, 12 de enero de 2023;Thursday;1966058;199284;91284;1312972;0;30170;0;63400;170080;0;98868;0;0
viernes, 13 de enero de 2023;Friday;2935396;268883;337707;1993856;36970;21980;0;110150;156660;0;0;9190;0
sábado, 14 de enero de 2023;Saturday;1823797;179844;200024;1014289;0;99900;0;70930;237230;0;0;21580;0
domingo, 15 de enero de 2023;Sunday;811782;107270;34067;337355;14990;67690;0;181480;34370;0;0;34560;0
lunes, 16 de enero de 2023;Monday;953785;44220;82181;561154;0;64840;0;105100;81510;0;0;14780;0
martes, 17 de enero de 2023;Tuesday;1366288;109706;134682;928270;31770;28160;0;29930;94320;0;0;9450;0
miércoles, 18 de enero de 2023;Wednesday;1047754;242290;64031;661033;16980;23270;0;18880;21270;0;0;0;0
jueves, 19 de enero de 2023;Thursday;2180025;228748;360803;1313754;0;15580;0;27570;216990;0;0;16580;0
viernes, 20 de enero de 2023;Friday;2452472;172150;465104;1327368;18980;83320;0;96420;289130;0;0;0;0
sábado, 21 de enero de 2023;Saturday;1598199;155530;166311;899348;0;61640;0;39960;275410;0;0;0;0
domingo, 22 de enero de 2023;Sunday;886403;155719;24266;437638;0;68920;0;66500;133360;0;0;0;0
lunes, 23 de enero de 2023;Monday;835011;196342;48224;402115;14990;70630;0;56450;46260;0;0;0;0
martes, 24 de enero de 2023;Tuesday;1395740;184690;122364;931386;0;35960;0;30170;91170;0;0;0;0
miércoles, 25 de enero de 2023;Wednesday;1073675;85054;74701;783780;0;44810;0;10990;74340;0;0;0;0
jueves, 26 de enero de 2023;Thursday;1902251;178779;337601;1204212;0;21990;0;12890;42260;0;93529;10990;0
viernes, 27 de enero de 2023;Friday;2355536;264351;210892;1323503;16980;131440;0;96320;298270;0;0;13780;0
sábado, 28 de enero de 2023;Saturday;1436369;202870;54714;840915;16980;28070;0;106000;178530;0;0;8290;0
